3,113,2012,Acura,Tsx sportwagon,116
5,112,2008,Acura,TL,110
7,114,2015,Acura,TLX,102
10,127,2013,Acura,Tsx,86
14,106,2007,Acura,Tl type s,78
16,103,2010,Acura,Tsx,72
19,1051,2006,Acura,Tsx,66
20,41,2012,Acura,Tsx,64
21,48,2015,Acura,TLX,62
26,225,2016,Acura,TLX,52
27,5,2003,Acura,Rsx,50
28,211,2004,Acura,Tsx,48
30,121,2012,Acura,TL,44
31,45,2006,Acura,TL,42
31,49,1997,Acura,Integra,42
41,93,2005,Acura,TL,22
42,230,2004,Acura,Tsx,20
49,71,2008,Acura,TL,6
50,174,2006,Acura,Rsx,4
2,15,2014,Audi,S4,120
33,18,2015,Audi,S3,38
38,116,2008,Audi,A4,28
45,108,2013,Audi,S4,14
45,220,2004,Audi,A4,14
51,197,2010,Audi,A4,2
39,98,2012,Benz,C63,26
40,2,2016,Bmw,M2,24
41,172,2014,Bmw,4,22
47,111,2007,Bmw,328i,10
48,28,1995,Bmw,318xi,8
Ranking,Car_ID,Year,Car_Make,Car_Model,Total
20,218,2010,Chevy,Camaro,64
27,170,2014,Chevy,Cruze,50
52,0,2015,Chevy,Camaro,0
8,216,2007,Chrystler,300,96
33,99,2014,Civic,Si,38
50,72,2016,Civic,Si,4
28,104,2014,Civic coupe,Si,48
48,42,2001,Dodge,Viper,8
25,137,2017,Ford,Focus rs,54
37,120,2014,Ford,Focus st,30
39,219,2016,Ford,Focus rs,26
42,167,2016,Ford,Mystang,20
4,83,2014,Honda,Accord,112
6,65,2009,Honda,Fit,106
7,31,2007,Honda,Fit,102
9,175,2006,Honda,Civic,92
9,37,2016,Honda,Civic 1.5t,92
10,63,2010,Honda,Civic,86
16,178,2009,Honda,Oddesy,72
16,39,2011,Honda,Civic,72
22,35,2016,Honda,Civic,60
24,115,2001,Honda,Crv,56
28,88,2008,Honda,Accord,48
30,118,1993,Honda,Civic,44
31,85,2017,Honda,Accord,42
32,207,1993,Honda,Civic eG,40
32,44,2018,Honda,Civic si,40
40,130,2016,Honda,Civic si,24
40,22,2007,Honda,Civic,24
43,226,2008,Honda,Accord,18
43,34,2010,Honda,Fit,18
44,89,2014,Honda,Civic si,16
45,59,2007,Honda,Civic,14
47,102,2015,Honda,Accord,10
48,74,2015,Honda,Accord,8
52,101,2014,Honda,Civic,0
52,70,2014,Honda,Civic,0
19,30,2012,Hyundai,Celoster,66
21,38,2017,Hyundai,Elantra sport,62
37,92,2017,Hyundai,Elantra sport,30
45,159,2013,Hyundai,Gen coupe,14
46,95,2004,Infiniti,G35,12
30,122,2011,Infinity,M37s,44
33,20,2009,Infinity,G37,38
1,124,2015,Jeep,Wrangler,124
19,123,2006,Lexus,Sc430,66
32,222,2015,Lexus,Is250,40
47,190,1995,Lexus,Sc300,10
49,212,2001,Lexus,Is300,6
28,52,2007,Mazda,Speed 3,48
34,78,2015,Mazda,6,36
